DEPTH,CALI,GR,ILD,PEF,RHOB,NPHI,SHALE
5254.5,7.4,21,17.8,3.3,2.638,0.048,0
5255,7.5,25,17.9,3.3,2.643,0.056,0
5255.5,7.5,25,16.7,3.1,2.668,0.056,0
5256,7.5,25,14.7,3.1,2.666,0.059,0
5256.5,7.5,26,13.3,2.8,2.631,0.066,0
5257,7.5,28,12.5,2.7,2.593,0.068,0
5257.5,7.5,26,12.1,3,2.602,0.062,0
5258,7.5,26,11.9,3.1,2.608,0.057,0
5258.5,7.5,29,12,3.4,2.615,0.056,0
5259,7.5,32,12.5,3.1,2.599,0.053,0
5259.5,7.5,32,13.3,3.1,2.601,0.041,0
5260,7.5,28,13.7,3.3,2.607,0.028,0
5260.5,7.5,25,13.9,3.5,2.638,0.027,0
5261,7.5,25,13.6,3.7,2.652,0.03,0
5261.5,7.5,27,13.1,3.4,2.646,0.035,0
5262,7.5,28,12.8,3.3,2.634,0.04,0
5262.5,7.5,27,12.4,3.1,2.632,0.042,0
5263,7.5,27,11.5,3.1,2.624,0.043,0
5263.5,7.5,27,10.5,2.9,2.634,0.047,0
5264,7.5,27,9.5,2.9,2.627,0.05,0
5264.5,7.5,28,8.4,2.8,2.611,0.05,0
5265,7.5,28,7.1,2.9,2.637,0.048,0
5265.5,7.5,28,5.8,3,2.654,0.054,0
5266,7.6,27,4.6,2.8,2.63,0.08,0
5266.5,7.5,27,3.8,2.5,2.568,0.108,0
5267,7.5,26,3.3,2.3,2.479,0.128,0
5267.5,7.5,23,3,2.3,2.423,0.114,0
5268,7.5,22,3,2.6,2.418,0.082,0
5268.5,7.5,23,3,2.9,2.471,0.051,0
5269,7.5,23,3.1,3.2,2.539,0.034,0
5269.5,7.5,22,3.3,3.3,2.602,0.028,0
5270,7.5,25,3.6,3.2,2.627,0.038,0
5270.5,7.5,29,4.1,2.8,2.622,0.064,0
5271,7.4,36,4.6,2.5,2.56,0.097,0
5271.5,7.4,39,5.1,2.4,2.507,0.125,0
5272,7.4,44,5.5,2.5,2.493,0.129,0
5272.5,7.5,47,5.9,2.7,2.494,0.098,0
5273,7.6,43,6.3,3,2.52,0.057,0
5273.5,7.5,34,6.8,3.4,2.569,0.026,0
5274,7.6,23,7.7,3.5,2.614,0.024,0
5274.5,7.5,20,9.1,3.5,2.628,0.024,0
5275,7.5,20,11.7,3.5,2.64,0.023,0
5275.5,7.6,22,15.4,3.6,2.648,0.02,0
5276,7.6,21,19.1,3.5,2.649,0.019,0
5276.5,7.5,22,21,3.5,2.649,0.02,0
5277,7.5,21,20.8,3.6,2.657,0.022,0
5277.5,7.5,23,18.7,3.7,2.654,0.023,0
5278,7.5,24,16.1,3.7,2.641,0.024,0
5278.5,7.5,25,13.7,3.5,2.627,0.028,0
5279,7.5,23,11.5,3.4,2.622,0.035,0
5279.5,7.6,24,9.5,3.5,2.623,0.041,0
5280,7.5,26,8.1,3.3,2.621,0.055,0
5280.5,7.5,33,7.2,2.8,2.595,0.08,0
5281,7.5,35,6.7,2.5,2.551,0.1,0
5281.5,7.5,35,6.5,2.5,2.524,0.095,0
5282,7.5,29,6.6,2.8,2.536,0.066,0
5282.5,7.5,25,7,3.3,2.609,0.038,0
5283,7.7,25,7.8,3.4,2.659,0.024,0
5283.5,7.7,25,9,3.5,2.652,0.02,0
5284,7.7,23,11,3.6,2.644,0.019,0
5284.5,7.7,23,13.7,3.9,2.642,0.019,0
5285,7.8,21,16.6,4,2.648,0.018,0
5285.5,7.8,21,18.8,3.9,2.648,0.019,0
5286,7.8,20,20,3.7,2.653,0.019,0
5286.5,7.9,21,19.5,3.7,2.651,0.019,0
5287,7.9,23,18.3,3.6,2.663,0.02,0
5287.5,8,32,16.9,3.6,2.671,0.041,0
5288,8,40,15.5,3.3,2.672,0.072,0
5288.5,8,44,14.2,3.1,2.609,0.086,0
5289,8,44,12.7,3.3,2.578,0.068,0
5289.5,8,49,11,3.7,2.587,0.056,0
5290,8.1,69,9.4,3.6,2.636,0.11,0
5290.5,8.2,84,8.3,3.2,2.603,0.188,1
5291,8.6,94,7.6,3,2.556,0.251,1
5291.5,8.6,89,7.2,3,2.588,0.262,1
5292,8.7,91,6.8,3.1,2.701,0.265,1
5292.5,8.7,92,6.3,3,2.716,0.267,1
5293,8.7,95,6,3.3,2.697,0.257,1
5293.5,8.6,89,5.9,3.3,2.683,0.25,1
5294,8.7,86,5.8,3.6,2.659,0.243,1
5294.5,8.7,84,5.9,3.4,2.629,0.259,1
5295,8.6,86,6,3.5,2.602,0.265,1
5295.5,8.6,87,6.1,3.4,2.601,0.255,1
5296,8.7,86,6.1,3.5,2.6,0.238,1
5296.5,8.6,85,6.1,3.5,2.608,0.227,1
5297,8.6,87,6.1,3.7,2.628,0.233,1
5297.5,8.5,90,6.2,3.8,2.635,0.24,1
5298,8.6,91,6.2,3.7,2.636,0.24,1
5298.5,8.6,89,6.2,3.4,2.638,0.239,1
5299,8.5,90,6.2,3.5,2.63,0.243,1
5299.5,8.6,91,6.2,3.4,2.627,0.248,1
5300,8.6,93,6.3,3.5,2.63,0.243,1
5300.5,8.6,92,6.3,3.2,2.641,0.229,1
5301,8.5,88,6.3,3.2,2.646,0.22,1
5301.5,8.6,85,6.3,3.2,2.669,0.214,1
5302,8.6,83,6.4,3.4,2.668,0.221,1
5302.5,8.8,82,6.4,3.6,2.681,0.219,1
5303,8.7,84,6.3,3.6,2.666,0.228,1
5303.5,8.7,81,6.3,3.7,2.658,0.237,1
5304,8.8,84,6.3,3.7,2.651,0.238,1
5304.5,8.8,86,6.3,3.8,2.643,0.238,1
5305,8.8,86,6.3,3.8,2.619,0.236,1
5305.5,8.8,82,6.3,3.8,2.639,0.232,1
5306,8.7,78,6.3,3.9,2.642,0.224,1
5306.5,8.8,79,6.2,3.8,2.644,0.205,1
5307,8.4,81,6.2,3.8,2.642,0.206,1
5307.5,8.7,81,6.2,3.5,2.642,0.212,1
5308,8.8,84,6.3,3.5,2.644,0.227,1
5308.5,8.7,86,6.6,3.4,2.643,0.229,1
5309,9,88,7,3.6,2.63,0.206,1
5309.5,8.8,80,7.3,3.8,2.642,0.196,1
5310,8.2,76,7.5,3.8,2.646,0.21,1
5310.5,8.2,67,7.7,3.9,2.631,0.17,1
5311,8.4,58,7.5,3.6,2.601,0.135,0
5311.5,8,52,7,3.3,2.619,0.161,1
5312,8.4,63,6.8,3,2.556,0.243,1
5312.5,8.7,85,6.4,2.8,2.488,0.287,1
5313,8.8,97,5.9,2.9,2.433,0.29,1
5313.5,8.8,103,5.5,2.8,2.513,0.293,1
5314,8.7,105,5,2.8,2.536,0.306,1
5314.5,8.8,109,4.5,2.8,2.524,0.304,1
5315,8.9,110,4.3,2.8,2.555,0.304,1
5315.5,9,104,4.2,2.9,2.556,0.313,1
5316,9,109,4.1,2.9,2.542,0.315,1
5316.5,9.2,109,4.1,3,2.542,0.305,1
5317,9.3,113,4.1,3.2,2.568,0.297,1
5317.5,9.3,110,4.1,3.3,2.585,0.282,1
5318,9.3,107,4.1,3.3,2.586,0.285,1
5318.5,9.4,109,4.1,3.2,2.568,0.281,1
5319,9.5,102,4.1,3.2,2.551,0.29,1
5319.5,9.6,106,4.1,3.2,2.544,0.307,1
5320,9.7,106,4.1,3.2,2.551,0.311,1
5320.5,9.7,111,4.1,3,2.54,0.324,1
5321,9.9,110,4.1,2.9,2.518,0.314,1
5321.5,9.8,104,4,3.1,2.517,0.321,1
5322,9.9,104,4,3.3,2.546,0.314,1
5322.5,10,105,4,3.3,2.568,0.297,1
5323,10,107,4,3.2,2.555,0.288,1
5323.5,10.1,106,3.9,3.1,2.552,0.294,1
5324,10.2,102,3.9,3,2.562,0.296,1
5324.5,10.2,101,3.9,3.1,2.555,0.323,1
5325,10.2,104,3.9,3.1,2.57,0.318,1
5325.5,10.2,108,4,3.3,2.572,0.331,1
5326,10.3,114,4,3.4,2.569,0.305,1
5326.5,10.2,112,4,3.1,2.575,0.326,1
5327,10.4,111,4,3,2.558,0.321,1
5327.5,10.5,114,4,3,2.544,0.336,1
5328,10.6,114,4,3.1,2.553,0.302,1
5328.5,10.6,110,4,3.1,2.578,0.29,1
5329,10.6,106,4,3,2.565,0.282,1
5329.5,10.6,108,4,2.9,2.538,0.295,1
5330,10.6,109,3.9,3,2.541,0.32,1
5330.5,10.6,105,3.9,3.1,2.544,0.307,1
5331,10.7,104,3.9,3.2,2.54,0.319,1
5331.5,10.7,102,3.9,3.4,2.532,0.303,1
5332,10.5,102,3.9,3.1,2.547,0.325,1
5332.5,10.6,105,4,3.2,2.548,0.304,1
5333,10.5,111,4,3,2.556,0.293,1
5333.5,10.6,110,4,3.1,2.554,0.273,1
5334,10.5,107,4,3.2,2.557,0.281,1
5334.5,10.5,107,4,3.1,2.56,0.305,1
5335,10.6,109,4,3.1,2.557,0.327,1
5335.5,10.6,109,4,3.1,2.54,0.337,1
5336,10.6,110,4,3.2,2.537,0.327,1
5336.5,10.6,113,4,3.1,2.548,0.332,1
5337,10.6,112,4,2.9,2.558,0.339,1
5337.5,10.6,106,3.9,2.9,2.552,0.346,1
5338,10.5,103,4,3.1,2.555,0.333,1
5338.5,10.5,103,4,3.3,2.562,0.323,1
5339,10.4,107,4,3.4,2.56,0.305,1
5339.5,10.4,108,4.1,3.4,2.561,0.295,1
5340,10.3,110,4.2,3.2,2.567,0.29,1
5340.5,10.2,105,4.2,3.2,2.567,0.284,1
5341,10.2,97,4.3,3.3,2.566,0.273,1
5341.5,10.2,94,4.4,3.4,2.574,0.26,1
5342,10.2,93,4.5,3.3,2.571,0.264,1
5342.5,10.2,99,4.6,3.3,2.579,0.264,1
5343,10.3,96,4.6,3.2,2.561,0.253,1
5343.5,10.3,95,4.7,3.2,2.568,0.247,1
5344,10.1,95,4.7,3.2,2.567,0.246,1
5344.5,10,99,4.8,3.4,2.581,0.251,1
5345,10,102,4.8,3.5,2.583,0.257,1
5345.5,10,100,4.8,3.4,2.572,0.27,1
5346,10,97,4.7,3.3,2.556,0.278,1
5346.5,10.1,95,4.7,3.4,2.555,0.273,1
5347,10.1,93,4.8,3.5,2.561,0.276,1
5347.5,10.1,92,4.8,3.5,2.587,0.276,1
5348,10,92,4.8,3.4,2.578,0.273,1
5348.5,9.8,90,4.9,3.3,2.567,0.249,1
5349,9.6,90,4.8,3.3,2.547,0.227,1
5349.5,9.6,85,4.7,2.9,2.539,0.219,1
5350,9.6,86,4.6,2.8,2.519,0.242,1
5350.5,9.8,89,4.5,2.7,2.476,0.268,1
5351,10.3,96,4.4,2.9,2.474,0.284,1
5351.5,10.3,97,4.4,2.8,2.49,0.297,1
5352,10.2,97,4.3,2.7,2.539,0.288,1
5352.5,9.6,93,4.1,2.8,2.407,0.29,1
5353,9.9,91,3.9,2.9,2.286,0.281,0
5353.5,10.4,88,3.8,2.9,2.281,0.317,1
5354,10.7,88,3.8,2.7,2.375,0.339,1
5354.5,10.8,93,3.7,2.7,2.469,0.347,1
5355,10.7,95,3.7,2.7,2.546,0.314,1
5355.5,10.7,99,3.7,2.8,2.525,0.298,1
5356,10.5,97,3.6,2.8,2.471,0.306,1
5356.5,10.5,99,3.5,2.8,2.441,0.324,1
5357,10.4,101,3.5,2.8,2.448,0.35,1
5357.5,10.6,104,3.5,2.9,2.478,0.369,1
5358,10.5,99,3.5,3.1,2.473,0.353,1
5358.5,10.5,99,3.5,2.9,2.455,0.333,1
5359,10.8,98,3.6,3,2.443,0.308,1
5359.5,11.3,99,3.5,2.9,2.4,0.356,1
5360,11.8,99,3.6,2.9,2.399,0.396,1
5360.5,12,97,3.6,2.8,2.424,0.4,1
5361,11.9,95,3.6,2.8,2.479,0.368,1
5361.5,11.6,91,3.6,2.9,2.485,0.335,1
5362,11.7,93,3.6,3,2.52,0.321,1
5362.5,11.7,93,3.6,3,2.534,0.311,1
5363,11.7,99,3.6,3,2.518,0.297,1
5363.5,11.3,100,3.6,3.1,2.52,0.283,1
5364,11.3,102,3.6,3,2.506,0.302,1
5364.5,11.4,101,3.6,3.1,2.521,0.319,1
5365,11.7,100,3.6,3,2.529,0.336,1
5365.5,11.7,104,3.6,3.1,2.543,0.326,1
5366,12,104,3.6,2.9,2.528,0.324,1
5366.5,12.1,105,3.6,2.9,2.521,0.338,1
5367,11.9,102,3.6,2.9,2.516,0.337,1
5367.5,12.2,101,3.7,2.7,2.505,0.349,1
5368,11.8,99,3.8,2.6,2.471,0.372,1
5368.5,10.7,101,4.1,2.7,2.328,0.389,1
5369,9.9,98,4.4,2.9,2.274,0.374,1
5369.5,9.5,99,4.9,3.6,2.31,0.347,1
5370,9.6,99,5.5,3.3,2.505,0.297,1
5370.5,8.9,93,6,3.4,2.618,0.242,1
5371,8.6,82,6.6,3.4,2.648,0.181,1
5371.5,8.3,73,7.4,3.4,2.612,0.166,1
5372,8.2,73,8.3,3.2,2.565,0.172,1
5372.5,7.9,73,9,3,2.521,0.167,0
5373,7.7,63,9.1,2.9,2.477,0.148,0
5373.5,7.7,51,8.6,2.8,2.461,0.147,0
5374,7.7,43,8.1,2.7,2.457,0.151,0
5374.5,7.7,39,8,2.7,2.47,0.149,0
5375,7.6,37,7.9,2.7,2.464,0.142,0
5375.5,7.5,38,8.1,2.7,2.458,0.141,0
5376,7.5,40,8.3,2.6,2.468,0.136,0
5376.5,7.5,39,8.9,2.6,2.474,0.138,0
5377,7.5,36,9.4,2.7,2.479,0.128,0
5377.5,7.5,34,10.1,2.8,2.488,0.116,0
5378,7.5,31,10.9,2.9,2.494,0.1,0
5378.5,7.5,31,12,2.8,2.503,0.1,0
5379,7.5,29,13.7,2.7,2.484,0.111,0
5379.5,7.5,32,15.5,2.7,2.458,0.119,0
5380,7.6,33,17.7,2.7,2.439,0.117,0
5380.5,7.6,33,19.5,2.6,2.431,0.114,0
5381,7.7,30,20.8,2.6,2.431,0.113,0
5381.5,7.7,29,21.8,2.6,2.444,0.111,0
5382,7.7,30,22.2,2.6,2.465,0.108,0
5382.5,7.7,31,22.5,2.7,2.49,0.1,0
5383,7.7,32,22.7,2.8,2.501,0.101,0
5383.5,7.7,34,22.9,2.8,2.499,0.107,0
5384,7.7,42,22.7,3.1,2.515,0.111,0
5384.5,7.7,44,21.4,3.4,2.538,0.107,0
5385,7.7,44,19.3,3.5,2.564,0.098,0
5385.5,7.7,39,16.9,3.5,2.551,0.087,0
5386,7.7,39,14.1,3.4,2.558,0.081,0
5386.5,7.7,47,12,3.7,2.575,0.08,0
5387,7.7,84,10.8,3.6,2.609,0.113,0
5387.5,7.7,118,9.8,3.4,2.599,0.158,1
5388,7.7,135,9.1,3.2,2.563,0.176,1
5388.5,7.7,121,8.8,3.1,2.539,0.16,0
5389,7.7,109,8.6,3.3,2.54,0.132,0
5389.5,7.7,98,8.8,3.7,2.559,0.116,0
5390,7.7,84,9.6,3.8,2.59,0.1,0
5390.5,7.7,65,10.7,4.1,2.602,0.083,0
5391,7.7,54,12.3,3.8,2.606,0.076,0
5391.5,7.7,52,14.2,3.6,2.578,0.08,0
5392,7.7,51,16.1,3.5,2.581,0.082,0
5392.5,7.7,47,17.6,3.5,2.579,0.08,0
5393,7.7,38,18.7,3.7,2.597,0.069,0
5393.5,7.7,33,19.2,3.6,2.621,0.056,0
5394,7.7,31,17.9,3.9,2.646,0.053,0
5394.5,7.7,29,15.4,3.7,2.665,0.049,0
5395,7.7,30,12.8,4,2.658,0.048,0
5395.5,7.7,48,10.4,4.1,2.653,0.057,0
5396,7.7,87,8.6,4.2,2.652,0.089,0
5396.5,7.7,130,7.5,3.9,2.648,0.137,0
5397,7.7,151,7.1,3.6,2.616,0.15,1
5397.5,7.7,135,6.8,3.5,2.575,0.13,0
5398,7.7,103,6.6,3.5,2.556,0.089,0
5398.5,7.7,66,6.5,3.7,2.572,0.071,0
5399,7.7,44,6.6,3.8,2.607,0.065,0
5399.5,7.7,44,7,3.8,2.619,0.078,0
5400,7.7,52,7.5,3.9,2.618,0.106,0
5400.5,7.7,58,7.7,3.8,2.613,0.142,0
5401,7.7,54,7.6,3.6,2.596,0.169,1
5401.5,7.7,51,7.5,3.4,2.568,0.183,1
5402,7.7,51,7.5,3.3,2.522,0.175,0
5402.5,7.7,50,7.6,3.2,2.504,0.147,0
5403,7.7,48,7.9,3.3,2.516,0.111,0
5403.5,7.6,41,8.6,3.5,2.557,0.088,0
5404,7.6,35,9.5,3.6,2.578,0.081,0
5404.5,7.6,30,10.7,3.6,2.579,0.083,0
5405,7.6,29,12.4,3.5,2.567,0.087,0
5405.5,7.6,26,13.8,3.6,2.564,0.089,0
5406,7.6,24,14.6,3.7,2.568,0.09,0
5406.5,7.6,22,14.7,3.8,2.573,0.09,0
5407,7.6,22,14.7,3.7,2.571,0.089,0
5407.5,7.7,23,14.7,3.5,2.558,0.087,0
5408,7.7,23,14.7,3.6,2.544,0.088,0
5408.5,7.7,23,14.7,3.5,2.547,0.091,0
5409,7.5,25,14.5,3.6,2.554,0.094,0
5409.5,7.6,27,14.4,3.5,2.568,0.097,0
5410,7.6,29,14.1,3.7,2.565,0.096,0
5410.5,7.5,28,13.8,3.7,2.569,0.094,0
5411,7.6,27,13.4,3.6,2.57,0.095,0
5411.5,7.6,28,12.7,3.4,2.567,0.097,0
5412,7.5,27,11.4,3.4,2.565,0.097,0
5412.5,7.6,31,9.5,3.4,2.592,0.091,0
5413,7.7,35,7.5,3.7,2.611,0.084,0
5413.5,7.6,54,5.9,3.8,2.642,0.1,0
5414,7.7,87,4.6,4.1,2.624,0.127,0
5414.5,7.7,125,3.8,3.9,2.621,0.17,1
5415,7.6,149,3.2,3.7,2.583,0.195,1
5415.5,7.5,136,2.8,3.6,2.517,0.222,1
5416,7.5,114,2.5,3.5,2.457,0.225,0
5416.5,7.7,96,2.4,3.5,2.432,0.217,0
5417,7.7,104,2.3,3.4,2.464,0.195,0
5417.5,7.7,118,2.3,3.4,2.462,0.196,0
5418,7.7,129,2.4,3.3,2.421,0.257,1
5418.5,8.2,137,2.6,3,2.354,0.312,1
5419,8.8,145,3,3.1,2.308,0.317,1
5419.5,8.3,149,3.4,3,2.329,0.271,0
5420,7.7,141,3.8,3.2,2.391,0.215,0
5420.5,7.7,120,4.1,2.9,2.441,0.162,0
5421,7.7,100,4.6,2.9,2.48,0.113,0
5421.5,7.7,77,5.3,2.9,2.494,0.071,0
5422,7.7,62,6.1,2.9,2.514,0.058,0
5422.5,7.6,61,7,2.9,2.526,0.072,0
5423,7.6,77,7.3,3.2,2.514,0.093,0
5423.5,7.6,96,7.1,3.5,2.511,0.115,0
5424,7.7,115,6.6,4.1,2.519,0.122,0
5424.5,7.7,135,6.2,3.5,2.55,0.151,0
5425,7.7,153,5.8,3.1,2.505,0.22,1
5425.5,8.4,151,5.4,2.7,2.327,0.279,0
5426,9,139,5.2,2.6,2.263,0.322,1
5426.5,9.2,128,5.2,2.6,2.299,0.33,1
5427,9.1,122,5.2,2.5,2.46,0.34,1
5427.5,8.1,123,5.4,2.5,2.418,0.364,1
5428,8.4,118,5.8,2.5,2.286,0.371,1
5428.5,8.7,120,6.3,2.6,2.235,0.356,1
5429,8.8,110,7,2.5,2.263,0.3,0
5429.5,7.8,94,7.9,2.5,2.366,0.217,0
5430,7.5,70,9.3,2.4,2.425,0.15,0
5430.5,7.5,51,11.1,2.3,2.439,0.115,0
5431,7.5,37,13.8,2.1,2.428,0.104,0
5431.5,7.4,29,16.5,2,2.426,0.089,0
5432,7.4,21,20,1.9,2.403,0.075,0
5432.5,7.4,19,23.6,1.9,2.383,0.068,0
5433,7.4,19,26,1.9,2.376,0.065,0
5433.5,7.4,20,26.9,1.8,2.385,0.064,0
5434,7.4,19,28.3,1.8,2.386,0.065,0
5434.5,7.4,18,29.2,1.8,2.39,0.064,0
5435,7.4,19,30,1.8,2.394,0.062,0
5435.5,7.4,18,30.2,1.9,2.4,0.058,0
5436,7.4,17,30.1,1.9,2.389,0.055,0
5436.5,7.4,17,30.1,2,2.38,0.058,0
5437,7.4,17,29.9,1.9,2.384,0.058,0
5437.5,7.4,18,29.4,1.9,2.382,0.059,0
5438,7.4,18,29.1,1.9,2.384,0.057,0
5438.5,7.4,19,28.4,1.9,2.377,0.052,0
5439,7.4,18,28.3,1.9,2.365,0.051,0
5439.5,7.4,17,27.8,1.8,2.367,0.049,0
5440,7.4,17,27.9,1.8,2.373,0.049,0
5440.5,7.4,16,27.9,1.8,2.383,0.05,0
5441,7.4,18,28.4,1.8,2.39,0.051,0
5441.5,7.4,17,30.1,1.8,2.393,0.054,0
5442,7.4,21,32.1,1.8,2.392,0.057,0
